"TreeID","X","Y","Radius","Error","H","h_radius","dbh","Plot","Plot_ID","Plot_name","dbh_cm"
33,0.484368175195425,-10.3232840949684,0.0865678251275057,0.000269466439060034,20.0100002146568,1.3,0.173135650255011,"Plot 18","9_Tree18_Hood",18,17.3135650255011
34,-1.59585921846264,10.996565708009,0.109055723674057,0.00053688296198458,23.2499999788737,1.3,0.218111447348114,"Plot 18","9_Tree18_Hood",18,21.8111447348114
35,-4.20691812155715,-13.0713848341228,0.0440900824582265,0.000483796017528828,22.6100005971148,1.3,0.088180164916453,"Plot 18","9_Tree18_Hood",18,8.8180164916453
44,-5.96793654063376,-10.9327879291286,0.154530730307861,0.00059868749282735,24.6299991581476,1.3,0.309061460615722,"Plot 18","9_Tree18_Hood",18,30.9061460615722
47,-5.72941418328299,-9.58960608479264,0.153880259656671,0.000600329929702976,22.7299995250821,1.3,0.307760519313343,"Plot 18","9_Tree18_Hood",18,30.7760519313343
6,10.4412257716452,-8.39192712095927,0.126211000629701,0.000495033497404555,15.9999999650844,1.3,0.252422001259401,"Plot 19","9_Tree19_Hood",19,25.2422001259401
7,10.4101668631106,7.5120030402718,0.121453398829035,0.000453023013557064,16.7999992041417,1.3,0.242906797658071,"Plot 19","9_Tree19_Hood",19,24.2906797658071
9,0.132692201299255,-0.546348039120936,0.16718716070394,0.000195416210447228,20.6499996022343,1.3,0.334374321407881,"Plot 19","9_Tree19_Hood",19,33.4374321407881
11,-3.11202445623025,3.39397588349377,0.16365592770127,0.000361463550896587,21.879999160448,1.3,0.327311855402541,"Plot 19","9_Tree19_Hood",19,32.7311855402541
13,2.38620911182186,-6.6329336777204,0.0869824040029219,0.000439313650945592,19.8700008175722,1.3,0.173964808005844,"Plot 19","9_Tree19_Hood",19,17.3964808005844
15,-4.43914939188147,10.6500379202966,0.143220160585052,0.000593132559840816,21.9599990663187,1.3,0.286440321170105,"Plot 19","9_Tree19_Hood",19,28.6440321170105
16,-2.41277021505079,0.389209888949943,0.0881612159457135,0.000379343291689537,22.860000577352,1.3,0.176322431891427,"Plot 19","9_Tree19_Hood",19,17.6322431891427
17,3.53625793368824,-5.68127661145498,0.0984725529877585,0.000242424560509018,20.3899993580869,1.3,0.196945105975517,"Plot 19","9_Tree19_Hood",19,19.6945105975517
18,-6.4064274734695,10.4080869041923,0.189373391180628,0.000454789523528799,22.4300002942655,1.3,0.378746782361256,"Plot 19","9_Tree19_Hood",19,37.8746782361256
19,-1.49893939393946,7.32647951826571,0.0781423623023215,0.000325026813526581,21.1100006029835,1.3,0.156284724604643,"Plot 19","9_Tree19_Hood",19,15.6284724604643
20,-3.66881872684001,6.08770693812882,0.0813522578965483,0.000500711601875669,21.9999999751091,1.3,0.162704515793097,"Plot 19","9_Tree19_Hood",19,16.2704515793097
21,8.79456374858962,-0.301210562451573,0.132850145996756,0.00033948233002957,16.7099990710734,1.3,0.265700291993512,"Plot 19","9_Tree19_Hood",19,26.5700291993512
22,-5.26437707917502,2.96648736943819,0.0708458138443923,0.000725687094919295,22.4699992913459,1.3,0.141691627688785,"Plot 19","9_Tree19_Hood",19,14.1691627688785
23,0.0513035666323963,2.38217145984612,0.082915176738913,0.000589046829367403,20.4200000757497,1.3,0.165830353477826,"Plot 19","9_Tree19_Hood",19,16.5830353477826
24,-1.71299789349705,9.84769806277485,0.117992205863765,0.000365941386078213,21.4599990684892,1.3,0.235984411727531,"Plot 19","9_Tree19_Hood",19,23.5984411727531
25,-1.61051356721934,-6.15263533458851,0.0569220029277099,0.000493882092590182,23.1100005943017,1.3,0.11384400585542,"Plot 19","9_Tree19_Hood",19,11.384400585542
26,0.497929061784929,9.37553285722328,0.124609062850499,0.000354078688187843,20.9400005279744,1.3,0.249218125700998,"Plot 19","9_Tree19_Hood",19,24.9218125700998
28,1.12341850640111,6.11776889526987,0.126328697667154,0.000270334914900973,19.3700008197426,1.3,0.252657395334308,"Plot 19","9_Tree19_Hood",19,25.2657395334308
30,3.33691122215954,-7.1622351854201,0.0567019757303045,0.000530514554160782,20.4099998124821,1.3,0.113403951460609,"Plot 19","9_Tree19_Hood",19,11.3403951460609
31,3.17099357211481,-12.1789031954902,0.168764777066385,0.0002882947505323,19.8700008175722,1.3,0.33752955413277,"Plot 19","9_Tree19_Hood",19,33.752955413277
32,2.40424749057989,-4.81621331101414,0.161145491188633,0.00027089160288902,19.2800006506043,1.3,0.322290982377267,"Plot 19","9_Tree19_Hood",19,32.2290982377267
33,0.463841718469812,-11.1210737307614,0.0854368857476184,0.000315270305743302,22.5300006545314,1.3,0.170873771495237,"Plot 19","9_Tree19_Hood",19,17.0873771495237
35,-1.62894543591615,-8.22968895086277,0.103057790079786,0.000391860746356031,23.1100005943017,1.3,0.206115580159572,"Plot 19","9_Tree19_Hood",19,20.6115580159572
37,6.29816517607602,10.9409195081052,0.0984854458721031,0.000549854263240125,19.360000592545,1.3,0.196970891744206,"Plot 19","9_Tree19_Hood",19,19.6970891744206
38,-3.67084528968926,-5.04832239434184,0.194002926701271,0.00063938956968722,25.1399993555027,1.3,0.388005853402542,"Plot 19","9_Tree19_Hood",19,38.8005853402542
40,9.44607467381157,4.99736369990673,0.0524768159077364,0.000446466800564175,14.9300002907521,1.3,0.104953631815473,"Plot 19","9_Tree19_Hood",19,10.4953631815473
45,-3.28395754479968,-10.3335071540109,0.0894996531576856,0.00197182073457719,25.2099990702459,1.3,0.178999306315371,"Plot 19","9_Tree19_Hood",19,17.8999306315371
46,-3.90499999999951,7.07973684210511,0.0111803398873668,0.00104081252942884,22.6299991391573,1.3,0.0223606797747335,"Plot 19","9_Tree19_Hood",19,2.23606797747335
47,-5.81021937344346,5.99517907460343,0.123295936961399,0.00103679412315258,22.4699992913459,1.3,0.246591873922798,"Plot 19","9_Tree19_Hood",19,24.6591873922798
48,-4.34365722509624,-2.12071999125017,0.188612275633059,0.000856427901963388,24.3899993767934,1.3,0.377224551266117,"Plot 19","9_Tree19_Hood",19,37.7224551266117
1,13.1395849911928,-4.40389754253164,0.15062018560468,0.000513836493965532,22.5200004462269,1.3,0.30124037120936,"Plot 2","9_Tree2_Hood",2,30.124037120936
2,11.5685369976321,2.42860035262016,0.164526051044631,0.000364253037952118,24.2999992171953,1.3,0.329052102089263,"Plot 2","9_Tree2_Hood",2,32.9052102089263
3,8.67461337826034,-10.2021305078643,0.0721899830866029,0.000562705806642691,19.7700004487678,1.3,0.144379966173206,"Plot 2","9_Tree2_Hood",2,14.4379966173206
4,8.06661859186051,3.82475773120878,0.0993873523564157,0.000334561576621596,23.2800006589611,1.3,0.198774704712831,"Plot 2","9_Tree2_Hood",2,19.8774704712831
5,7.64112600817014,-8.72448565984271,0.0611531338202839,0.000439476796116631,21.4699992960447,1.3,0.122306267640568,"Plot 2","9_Tree2_Hood",2,12.2306267640568
6,7.03623103855732,-6.0725107840143,0.151231929592756,0.000179019344386958,23.3700008215253,1.3,0.302463859185512,"Plot 2","9_Tree2_Hood",2,30.2463859185512
7,6.96919660224051,-7.83779723178545,0.122133925751121,0.000488131602715709,22.4400005225354,1.3,0.244267851502241,"Plot 2","9_Tree2_Hood",2,24.4267851502241
8,6.33304102569453,-3.58681922764662,0.104547594076778,0.000281945150458731,22.8700008296209,1.3,0.209095188153557,"Plot 2","9_Tree2_Hood",2,20.9095188153557
